building,floor,apartment,year,month,invoice_amount,payment_amount,due_date,invoice_notes,payment_notes,create_invoice_if_missing,skip_if_paid
24,1,3,2026,1,200,200,11-5-2026,-,Cash collected,TRUE,TRUE
62,6,3,2026,1,200,200,11-5-2026,-,Cash collected,TRUE,TRUE
36,3,1,2026,2,200,200,11-5-2026,-,Cash collected,TRUE,TRUE
106,4,1,2026,2,200,200,11-5-2026,-,Cash collected,TRUE,TRUE
64,2,2,2026,1,200,200,11-5-2026,-,Cash collected,TRUE,TRUE
64,2,2,2026,2,200,200,11-5-2026,-,Cash collected,TRUE,TRUE
71,5,4,2026,2,200,200,11-5-2026,-,Cash collected,TRUE,TRUE
31,2,2,2026,2,200,200,11-5-2026,-,Cash collected,TRUE,TRUE
23,6,2,2026,2,200,200,11-5-2026,-,Cash collected,TRUE,TRUE
23,5,1,2026,2,200,200,11-5-2026,-,Cash collected,TRUE,TRUE
115,7,2,2026,2,200,200,11-5-2026,-,Cash collected,TRUE,TRUE
112,7,3,2026,2,200,200,11-5-2026,-,Cash collected,TRUE,TRUE
113,1,2,2026,2,100,100,11-5-2026,-,Cash collected,TRUE,TRUE
